Acronyme,changements à préciser depuis le 16-17 octobre 2023,NOM et prénom,Etablissement du porteur,Etablissement 2,Etablissement 3,Etablissement 4,Etablissement 5,Etablissement 6,Etablissement 7,Etablissement 8,Etablissement 9,Etablissement 10,Etablissement 11,Partenaire 1,Partenaire 2,Partenaire 3,Partenaire 4,Partenaire 5,Partenaire 6,Partenaire 7,Partenaire 8,Partenaire 9,Partenaire 10,Partenaire 11,Partenaire 12,Laboratoire du porteur,Labo 2,Labo 3,Labo 4,Labo 5,Labo 6,Labo 7,Labo 8,Labo 9,Labo 10,Labo 11,Labo 12,Labo 13,Labo 14,Labo 15,Labo 16,Labo 17,Labo 18,Labo 19,Labo 20,Labo 21,Labo 22,discipline 1,discipline 2,discipline 3,discipline 4,discipline 5,discipline 6,discipline 7,discipline 8,discipline 9,discipline 10,discipline 11,ERC,Mot clef 1,Mot clef 2,Mot clef 3,Mot clef 4,Mot clef 5,Mot clef 6,Mot clef 7,Mot clef 8,Mot clef 9,Mot clef 10,Mot clef 11,Mot clef 12,Mot clef 13,site 1,site 2,site 3,site 4,site 5,site 6,site 7,site 8,site 9,site 10,site 11,nom 2,nom 3,nom 4,nom 5,nom 6,nom 7,nom 8,nom 9,nom 10,nom 11,nom 12,nom 13,nom 14,nom 15,nom 16,nom 17,nom 18,nom 19,nom 20,nom 21,nom 22,nom 23,nom 24,nom 25,nom 26,nom 27,nom 28,nom 29,nom 30,Defi principal,autre défi 1,autre défi 2,autre défi 3,autre défi 4,autre défi 5,autre défi 6,Nom complet,Notes,,,,
ALTERMOB,,PEGUY Pierre-Yves,Université Lumière Lyon 2,,,,,,,,,,,,,,,,,,,,,,,LAET,,,,,,,,,,,,,,,,,,,,,,Economie Gestion Management - G2 05 06,,,,,,,,,,,,Espaces métropolitains,Mobilité,Décarbonation,Emissions,ACV,Evaluation Environnementale,Evaluation économique,Coûts d'évitement,Aide à la décision publique,,,,,Lyon Saint Etienne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Le changement climatique,la préservation de la biodiversité,La ville résiliente,,,,,Evaluation Environnementale des Politiques publiques territoriales de mobilité durable et coûts d'évitement associés,,,,,
AnthroPolUrb,,DELILE HUGO,CNRS,ENS Lyon,Aix Marseille Université,Université de Montpellier III PV,INRAE,Univesité Lyon 2,Université Toulouse II,Ecole Pratique des Hautes Etudes,,,,INRAP,Bureau d'étude Mosaïque Archéologie,Service Archéologie de la vielle de Lyon,,,,,,,,,,ARCHEORIENT,TRACES,LGL-TPE,RIVERLY,EVS,ADES,CCJ,ASM,Institut du Patrimoine,,,,,,,,,,,,,,Histoire - Archéologie - G4 21 22,Chimie - G7 31 32 33,"mécanique, Génie Civil - G9 60","ethnologie, préhistoire Anthropologie - G4 20",,,,,,,,"SH7 Mobilité humaine, environnement et espace : Géographie humaine, démographie, santé, sciences de la durabilité, aménagement du territoire, analyse spatiale",Hydrosystème Fluviaux,anthropocène,pollution,ingénierie et infrastructures hydroliques,minerais,histoire,archéologie,ressources naturelles,santé humaine et environnementale,Anthropo biologie,qualité de l'eau,,,Lyon Saint Etienne,Aix Marseille,Montpellier,Toulouse,Paris,,,,,,,BARON Sandrine,BLICHERT-TOFT Janne,LE COZ Jérôme,COQUIDÉ Catherine,BERGER Jean-François,DABRIN Aymeric,GRANIER Gaëlle,HEIJMANS Marc,SANCHEZ Corinne,FLAUX Clément,BIGOT Fabrice,TRONCHERE Hervé,GAILLOT Stéphane,BEN JERDANIA Imed,VAN ANDRINGA William,,,,,,,,,,,,,,,La ville résiliente,La ville sobre et frugale,"La ville durable, santé et bien-être","Les défis émergents, signaux faibles, nouvelles difficultés",,,,Origine et devenir de l’anthropocène urbain dans le continuum Homme-Terre-Mer du Rhône et de la Medjerda,,,,,
ATTERRIR,,VAREILLES Sophie,INSA-Lyon,ENTPE,Université Lyon 2,Université Gustave Eiffel,Ecole Centrale Lyon,EHESS,ENSAL,ENSAG,ENSASE,,,Atelier Matière à construire (AMACO),Centre National de Matériaux Naturels pour la Construction (CTMNC),CSTB,Confédération de l’Artisanat et des Petites Entreprises du Bâtiment (CAPEB Isère),Société d'études techniques et économiques (SETEC),Ville de Lyon,Agence d'urbanisme de Lyon,CAUE,Ordre des architectes,Experts auprès des tribunaux,associations,,EVS,MATEIS,LAMCOS,LTDS,IMP,GEOMAS,GERS,AE&CC,,,,,,,,,,,,,,,milieux Matériaux - G6 28 29 30,"Mécanique, Génie Civil - G9 60",Géographie - G4 23,aménagement Urbanisme G4 24,Architecture Arts - G4 18,,,,,,,,ville durable,Transitions urbaines,Terre crue,construction,changements,freins sociotechniques,morphologie sociale,,,,,,,Lyon Saint Etienne,Marne La Vallée,Grenoble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La ville sobre et frugale,Le changement climatique,La préservation de la biodiversité,La ville résiliente,La ville inclusive et équitable,"La ville durable, santé et bien-être","les défis émergents, signaux faibles, nouvelles difficultés","Anthropocène, Transitions urbaines et TERRe crue. Analyse de la mIse en œuvre des villes duRables à partir de la terre crue dans la construction",,,,,
BaaS,,BOUZOUINA Louafi,ENTPE,Université de Lille,INSA-Lyon,,,,,,,,,Fédération Française des usagers de la bicyclette,EDF,CITIZ (service de voitures Partégées) ,,,,,,,,,,LAET,CLERSE,CETHIL,,,,,,,,,,,,,,,,,,,,Economie Gestion Management - G2 05 06,Informatique - G5 27,,,,,,,,,,"LS8 Biologie environnementale, écologie et évolution : Pour tous les organismes Écologie, biodiversité, changements environnementaux, biologie de l'évolution, écologie comportementale, écologie microbienne, biologie marine, écophysiologie, développements théoriques et modélisation",,,,,,,,,,,,,,Lyon Saint Etienne,Lille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La ville sobre et frugale,La ville inclusive et équitable,"les défis émergents, signaux faibles, nouvelles difficultés",,,,,« Building as a Service » : évaluation socioéconomique et environnementale des actions de transformation du bâtiment pour des services durables,,,,,
BASE,,CORMIER Pierre-Antoine,CESI Ecole d'ingénieur,Université de Versailles Saint Quentin en Yvelines,Université de Paris Saclay,,,,,,,,,CISCO,,,,,,,,,,,,LINEACT,DAVID,,,,,,,,,,,,,,,,,,,,,Economie Gestion Management - G2 05 06,Informatique - G5 27,,,,,,,,,,"SH5 Cultures et production culturelle : Études littéraires, études culturelles, étude des arts, philosophie",Comportement,Confort adaptatif,Qualité de l'air,IA et Mahcine Learning,Modélisation numérique,,,,,,,,,Orléans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La ville sobre et frugale,"La ville durable, santé et bien-être",,,,,,Bâtiment Apprenant à être Sain et Eco-responsable,,,,,
BATMAT,,MONGEARD Laetitia,Université Paris Est Créteil,Université de Lyon,,0,0,0,0,0,0,0,0,POPSU,,,,,,,,,,,,Lab'URBA,EVS,LATTS,ESO,IMU ,,,,,,,,,,,,,,,,,,Géographie - G4 23,Informatique - G5 27,,,,,,,,,,,Métabolisme,économie circulaire,Construction,Déchets,,,,,,,,,,Créteil,Lyon Saint Etienne,,,,,,,,,,DESVAUX Pierre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La ville sobre et frugale,La ville inclusive et équitable,,,,,,Métabolisme et circularité des matières pour pérenniser les bâtiments urbains,,,,,
BEECS,,BARROCA Bruno,Université Gustave Eiffel,Aix Marseille Université,Ecole Nationale Supérieure d'Archteicture de Paris-Belleville,CNRS,Université de Technologie de Compiègne,Université de Versailles Saint Quentin en Yvelines,,,,,,Urban Water,NHOOD,Institut Paris Région,Efficacity,Urban Climat Change Research Network ,France Nature Environnement (association),AFNOR,EPCI Marne & Bois,Champagne-sur-Marne (ZAC des Hauts de Nesle),Montreuil,Marseille & Castelnau-le-Lez (quartier EUREKA),Rouen & Commune proche,Lab'URBA,IMSE,AUSser,iEES,AVENUES,CEARC,,,,,,,,,,,,,,,,,Géographie - G4 23,architecture Arts - G4 18,"Biologie, biochimie, physiologie, écologie, neuroscience - G10  64 à 69",Droit - G1 01 02 03,informatique - G5 27,"Science de l'éducation, sciences de l'information - G12 70 71 73 74",,,,,,,Énergie,biodiversité,Eau,Logement,Planification,Trajectoires,Scénarios,sols,Citoyens,Foncier,,,,Aix Marseille,Paris,Compiègne,Versailles,,,,,,,,PELLEGRINO Margot,RUAS Anne,LAMBERT Marie-Laure,LORTIE André,PACTEAU Chantal,MOLINES  Nathalie,DA CUNHA Charlotte,,,,,,,,,,,,,,,,,,,,,,,Le changement climatique,la préservation de la biodiversité,La ville résiliente,"Les défis émergents, signaux faibles, nouvelles difficultés",,,,Biodiversité -Energie-Eau-Construction-Sol : Trajectoires d’aménagement multi-acteurs de territoires,,,,,
BIOSE/DD,,REBUFA Catherine,Aix Marseille Université,IRD,,,,,,,,,,ADEME,Association Française Interprofessionnelle de l'Olive,Observatoire de la qualité de l'air en Région Sud Provence Alpes Côte d'Azur,BIOVARE recyclage collecte valorisation traitement biodéchets 13,Association des Compagnons de l'Olivier du Pays d'Aix,COLINEO - Conservatoire des Restanques Verger et Jardin Méditerranéen,OvinAlp Solutions Fertilisantes Eprouvées,DEPIL Direction d'Exploitation du Patrimoine Immobilier et de la Logistique (AMU),Cellule Verte (AMU IMBE),CSTB,,,IMBE,LCE,M2P2,LPED,CEREGE,,,,,,,,,,,,,,,,,,Chimie - G7 31 32 33,"Biologie, biochimie, physiologie, écologie, neuroscience - G10  64 à 69","mécanique, Génie Civil - G9 60",,,,,,,,,"SH1 Individus, marchés et organisations : Economie, finance, management",Olivier,biodiversité,agriculture urbaine,éco-rénovation,vivre ensemble,,,,,,,,,Aix Marseille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Le changement climatique,la préservation de la biodiversité,"La ville durable, santé et bien-être",,,,,Bâtiment Innovant au centre de l’Oléoarboretum et Services Écosystémiques pour un Développement Durable,,,,,
BLUERIVER2050,,RIVIERE Nicolas,INSA-Lyon,Université Lumière Lyon 2,CNRS,,,,,,,,,Métropole de Lyon,SDMIS - Sapeur Pompier,VNF - Voie Navigable de France,,,,,,,,,,LMFA,EVS,LEHNA,ARENES,CRENSP,RIVERLY,IRSET,,,,,,,,,,,,,,,,Géographie - G4 23,"Biologie, biochimie, physiologie, écologie, neuroscience - G10  64 à 69",Chimie - G7 31 32 33,"Santé, médecine - Gxx 85 à 92",,,,,,,,,Changement climatique,résilience,biodiversité en ville,santé et bien-être,habitants,villes inclusives et équitables,qualité de l'eau,,,,,,,Lyon Saint Etienne,Rennes,,,,,,,,,NAVRATIL Oldrich,HONEGGER Anne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"La ville durable, santé et bien-être",Le changement climatique,La préservation de la biodiversité,La ville inclusive et équitable,"Les défis émergents, signaux faibles, nouvelles difficultés",,,la Baignade en eau vive urbaine : Levier oU frEin pouR une ville habitable pour les humains et la biodIVERsité en 2050 ?,,,,,
BRC,,YOUNSI Zohir,JUNIA,ISB TP Marseille,Ecole supérieure d'architecture et de Paysage de Lille,Université de Lorraine,,,,,,,,Vinci Energie,SIA Habitat,,,,,,,,,,,LGCgE,,,,,,,,,,,,,,,,,,,,,,"mécanique, Génie Civil - G9 60",,,,,,,,,,,,,,,,,,,,,,,,,Lille,marseilles,Lorraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La Chaire « Building Resilient Cities»,manque la note d'intention,,,,
CAUSAL,,HALLIL Hamida,Université de Bordeaux,CNRS,université Gustave Eiffel,,,,,,,,,CISTEME,,,,,,,,,,,,IMS,ESYCOM,LCPO,XLIM,,,,,,,,,,,,,,,,,,,milieux Matériaux - G6 28 29 30,"Génie Informatique, automatisme, traitement signal - G9 61",Chimie - G7 31 32 33,,,,,,,,,,Capteurs de gaz biosourcés,Capteurs environnementaux durables,Technologie verte,Transducteurs micro-ondes,RFID,analyse du cycle de vie,Minimisation de l'empreinte environnementale,,,,,,,Bordeaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"La ville durable, santé et bien-être","Les défis émergents, signaux faibles, nouvelles difficultés",,,,,,Capteurs de gAz bio-soUrcéS et durAbLes,,,,,
CAVEAU,,THIEBAULT Thomas,Ecole Pratique des Hautes Etudes,Sorbonne Université,Ecole Nationale des Ponts ParisTech,Université Paris Est Créteil,Insitut Pierre Simon Laplace (IPSI),Université Paris Nanterre,Ecole Nationale Supérieure d'Architecture de Paris Malaquais,INRAE,Université de Strasbourg,ENS Paris,,Syndicat Interdépartemental pour l’Assainissement de l’Agglomération Parisienne (SIAAP),Eau de Paris,Centre Pour la Recherche Economique et ses applications (CREMAP),,,,,,,,,,METIS,CRSA,LEESU,LSCE,LADYSS,GEMASS,LAS,AUSser,PROSE,DIHP,"Centre Jean Pépin UMR 8230 (CNRS, ENS Paris, Université Paris Sciences et Lettres)",,,,,,,,,,,,Chimie - G7 31 32 33,"Biologie, biochimie, physiologie, écologie, neuroscience - G10  64 à 69",sociologie Démographie - G4 19,"ethnologie, préhistoire Anthropologie - G4 20",Géographie - G4 23,Aménagement Urbanisme G4 24,,,,,,"LS3 Biologie cellulaire, du développement et régénérative : Pour tous les organismes Structure et fonction de la cellule, communication intercellulaire, embryogenèse, différenciation des tissus, organogenèse, croissance, développement, évolution du développement, organoïdes, cellules souches, régénération, approches thérapeutiques",Santé,inégalité,Vulnérabilité,Eau Usée,Monitoring,Veille,,,,,,,,Paris,Créteil,Strasbourg,,,,,,,,,MOUCHEL Jean-Marie,BLANCHOUD Hélène,MARECHAL Vincent,GHEBBO Ghassan,MOILLERON Régis,TRAMOY Romains,GOBERT Julie,JACOB Jéremy,RICAN Stéphane,VAILLANT Zoé,HELEQUIN Anne-Peggy,JAYET Cyril,DEBAILLY Renaud,PITROU Perig,ROCHER V. (SIAAP),GUÉRIN S.(SIAAP),MOULIN L. (Eau de Paris),WURTZER S. (Eau de Paris),CHESNEAU Isabelle,CHARDONNET-DARMAILLACQ Sabine,BIZE Ariane,CHAPLEUR Olivier,ROHR Olivier,PERONA Mathieu,CUNNINGHAM SABOT Emmanuèle,,,,,"La ville durable, santé et bien-être",Le changement climatique,La préservation de la biodiversité,La ville résiliente,La ville inclusive et équitable,,,CAractériser les Vulnérabilités par les EAux Usées brutes,,,,,
CEA-List,,ROBIN Bénédicte,CEA,,,,,,,,,,,,,,,,,,,,,,,LIST,,,,,,,,,,,,,,,,,,,,,,informatique - G5 27,Economie Gestion Management - G2 05 06,,,,,,,,,,"SH3 Le monde social et sa diversité : Sociologie, psychologie sociale, anthropologie sociale, sciences de l’éducation, études de communication",Monitoring environnemental frugal,IA,biodiversité,figre optique,réseau de chaleur,acoustique,,,,,,,,Saclay,,,,,,,,,,,TROUVE Adeline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Le changement climatique,la préservation de la biodiversité,La ville résiliente,La ville sobre et frugale,,,,Technologies au service de la ville durable et des bâtiments innovants,,,,,
CITIFLEX,,MOTTE-BAUMOL Benjamin,Université de Bourgogne,Université Gustave Eiffel,ENTPE,Université le Havre Normandie,INED,,,,,,,,,,,,,,,,,,,ThéMA,LVMT,LAET,LIST,IDEES,,,,,,,,,,,,,,,,,,Economie Gestion Management - G2 05 06,Géographie - G4 23,Aménagement Urbanisme G4 24,Sociologie Démographie - G4 19,,,,,,,,,Numérique,Flexibilité,espace,emploi,commerce,activité,santé,inégalités,Inclusion,,,,,Besançon,Lyon Saint Etienne,Havre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La ville inclusive et équitable,La ville sobre et frugale,"La ville durable, santé et bien-être",,,,,Transformation Numérique des Villes : l'Inclusion par la Flexibilité Spatiale et Temporelle ?,,,,,
CITYVERSE ,,TRAORE Mamadou Kaba,Université de Bordeaux,Ecole Nationale d'Ingénieurs de Tarbes,Institut Mines-Télécom Mines Albi,University of Exeter (UK),Bornemouth University (UK),Universita di Macerata (It),University of Cyprus (Chypre),University of Tartu (Estonie),University of Ghent (Belgique),University of Gröningen (Pays bas),University Göttingen (Allemagne),Bordeaux Métropole,Ghent City,Tartu City,Holoforge,TomTom,Ultraleap,Tractebel,Polypipe,,,,,IMS,,,,,,,,,,,,,,,,,,,,,,informatique - G5 27,,,,,,,,,,,,Jumeau Numérique,Metaverse,Territoires Intelligents,Résilience,Durabilité,,,,,,,,,Bordeaux,Tarbes,Albi,Exeter,Royaume Uni,Italie,Chypre,Estonie,Belgique,Pays Bas,Allemagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La ville résiliente,La ville sobre et frugale,La ville inclusive et équitable,"La ville durable, santé et bien-être",,,,Jumeaux Numériques Immersifs pour Territoires Intelligents Résilients et Durables,,,,,
CŒUR-3R,,TAHLAITI Mahfoud,ICAM,Université Gustave Eiffel,CEREMA,,,,,,,,,Région Pays de Loire,Nantes Métropole,,,,,,,,,,,GeM,,,,,,,,,,,,,,,,,,,,,,"mécanique, Génie Civil - G9 60",,,,,,,,,,,"LS9 Biotechnologie et ingénierie des biosystèmes : Biotechnologie utilisant tous les organismes, biotechnologie pour les applications environnementales et alimentaires, sciences appliquées aux plantes et aux animaux, bioingénierie et biologie synthétique, biomasse et biocarburants, risques biologiques",Requalification,CND,Flux,BTP,Réemploi,Réutilisation,Filière,recyclage,,,,,,Nantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La ville résiliente,La ville sobre et frugale,,,,,,"L’économie circulaire au cœur de la planification écologique des territoires : Circularité Optimale (Réemploi, Réutilisation, Recyclage)",,,,,
COMODEV,,CAZALS Clarisse,INRAE,Université de Reims Champagne Ardenne,Université Paris Cité,,,,,,,,,,,,,,,,,,,,,ETTIS,LADYSS,REGARDS,LISC,OPAALE,,,,,,,,,,,,,,,,,,Economie Gestion Management - G2 05 06,Géographie - G4 23,Informatique - G5 27,,,,,,,,,,,,,,,,,,,,,,,Bordeaux,Paris,Reims,Clermont Ferrand,Rennes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La ville sobre et frugale,La ville inclusive et équitable,,,,,,La coexistence des modèles d'économie circulaire: quelles trajectoires de transition dans les villes?,,,,,
DurArBeLT,,BOUTEILLER Véronique,Université Gustave Eiffel,,,,,,,,,,,,,,,,,,,,,,,EMGCU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marne la Vallée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Durabilité des armatures et des Bétons sur le Long Terme,manque la note d'intention,,,,
ECOFLUX,,SERERO David,École nationale supérieure d’architecture Paris-Val de seine,,,,,,,,,,,,,,,,,,,,,,,EVCAU,,,,,,,,,,,,,,,,,,,,,,informatique - G5 27,Aménagement Urbanisme G4 24,,,,,,,,,,"LS1 Molécules de la vie : Mécanismes biologiques, structures et fonctions : Pour tous les organismes Biologie moléculaire, biochimie, biologie structurale, biophysique moléculaire, biologie de synthèse et chimique, conception de médicaments, méthodes innovantes et modélisation",,,,,,,,,,,,,,Paris Val de Seine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flux écologiques - Des pratiques d’usagers à la conception informationnelle. Une immersion architecturale et urbaine générée pendant la transition éco,manque la note d'intention,,,,
ELDUC,,ROBICHET Antoine,Université Gustave Eiffel,,,,,,,,,,,,,,,,,,,,,,,CESIT,,,,,,,,,,,,,,,,,,,,,,Economie Gestion Management - G2 05 06,,,,,,,,,,,,Micro-Hub,ville durable,logitique urbaine,bâtiment innovant,Sustainability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La ville sobre et frugale,"La ville durable, santé et bien-être",,,,,,Espaces Logistiques pour la Distribution Urbaine de Colis au Service de la Ville Durable,,,,,
EnergiEx,,SAME Allou,Université Gustave Eiffel,Ecole Nationale des Ponts ParisTech,Université Paris Est Créteil,Cergy Paris Université,CNAM,Université de Rennes,,,,,,Est Ensemble Habitat,,,,,,,,,,,,GRETTIA,IMSE,ESYCOM,Lab'URBA,LATTS,CERTES,SATIE,CRTD,IETR,,,,,,,,,,,,,,"energétique, génie des procédé - G9 62",Informatique - G5 27,Aménagement Urbanisme G4 24,"Santé, médecine - Gxx 85 à 92",,,,,,,,,Changement climatique,épisodes extrêmes,Consommation d'énergie,confort individuel,Intérêt collectif,santé,Qualité de l'air intérieur,modèles intégrés,,,,,,Marne la Vallée,Paris,Rennes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"La ville durable, santé et bien-être",Le changement climatique,La préservation de la biodiversité,La ville résiliente,La ville sobre et frugale,,,Modélisation unifiée de la dynamique de consommation énergétique de bâtiments en contexte de changement climatique incluant des épisodes extrêmes,,,,,
FaRe,,TRIC Emmanuel,Université Côte d'Azur,Université Côte d'Azur,Université d'Angers,Université d'Avignon,Université de Corte,,,,,,,EPA Vallée du Var - Nice - Ecovallée,Métropole Nice Côte d'Azur,Conseil départemental des Alpes Maritimes,Communauté d'Agglomération Cannes Pays de Lérins,Régie Eau d'Azur,Agence d'Urbanisme Azuréenne,Société Monégasque de l'Electricité et du Gaz,Siradel (Filiale ENGIE),Leroy Merlin,,,,GEOAZUR,ESPACEDEV,GREDEG,I3S,LEAT,Polytech'Lab,RETINES,TRANSITIONS,SicLab,,,,,,,,,,,,,,Géographie - G4 23,Economie Gestion Management - G2 05 06,"Energétique, génie des procédé - G9 62",informatique - G5 27,"Santé, médecine - Gxx 85 à 92",Sociologie Démographie - G4 19,"Science de l'éducation, sciences de l'information - G12 70 71 73 74",,,,,,Résilience urbaine,Bâtiment innovant,santé urbaine,risques,mobilité,Environnement,économie circulaire,,,,,,,Cote d'Azur,Anger,Avignon,Corte,Nice,Cannes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La ville résiliente,Le changement climatique,La préservation de la biodiversité,La ville sobre et frugale,"La ville durable, santé et bien-être",,,La Fabrique des Villes Résilientes,,,,,
Flex-Sens,,BOUANIS Fatima,Université Gustave Eiffel,Ecole Polytechnique,IMT Saint-Etienne,,,,,,,,,,,,,,,,,,,,,IMSE,MSME ,LPICM,,,,,,,,,,,,,,,,,,,,informatique - G5 27,"Génie électrique, électronique, système - G9 63","Génie Informatique, automatisme, traitement signal - G9 61",,,,,,,,,,Capteurs de gaz,Matériaux 2D,Objet flexible autonome,fonctionnalisation,Polluants,,,,,,,,,Marne la Vallée,Paris,Lyon Saint Etienne,,,,,,,,,LEONARD C.,YASSAR A.,RAMUZ M.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Capteurs de gaz flexibles à base des matériaux 2D fonctionnalisés pour la détection de polluants en milieu urbain (H2, COx, NOx) : étude théorique et",,,,,
ForVille,,PORTÉ Annabel,INRAE,Université de Bordeaux,INRAE,AgroParisTech,Université de Rennes,,,,,,,Bordeaux Métropole,,,,,,,,,,,,BIOGECO,ETTIS,ISPA,SILVA,UEVT,LETG,,,,,,,,,,,,,,,,,"biologie, biochimie, physiologie, écologie, neuroscience - G10  64 à 69",Géographie - G4 23,"Structure et évolution de la terre, enveloppe supérieure, fluide G8 35 36 37",,,,,,,,,Non renseigné,Forêt urbaine,santé végétale,risques biotiques et abiotiques,observation participative,réseau instrumentalisé,adaptation au changement climatique,,,,,,,,Bordeaux,Nancy,Antibes,Rennes,,,,,,,,CASTAGNEYROL Bastien,VILLALBA JC,TOÏGO Maude,BURLETT Régis,HAUDIDIER Baptiste,IRVINE Marc,DANGLES Christophe (Bordeaux Métropole),DURQUETY François (Bordeaux Métropole),,,,,,,,,,,,,,,,,,,,,,La ville résiliente,Le changement climatique,La préservation de la biodiversité,,,,,Accroître la santé de la FORêt urbaine pour accroître la résilience de la VILLE aux changements climatiques,,,,,
