Acronyme,changements à préciser depuis le 16-17 octobre 2023,NOM et prénom,Etablissement du porteur,Etablissement 2,Etablissement 3,Etablissement 4,Etablissement 5,Etablissement 6,Etablissement 7,Etablissement 8,Etablissement 9,Etablissement 10,Etablissement 11,Partenaire 1,Partenaire 2,Partenaire 3,Partenaire 4,Partenaire 5,Partenaire 6,Partenaire 7,Partenaire 8,Partenaire 9,Partenaire 10,Partenaire 11,Partenaire 12,Laboratoire du porteur,Labo 2,Labo 3,Labo 4,Labo 5,Labo 6,Labo 7,Labo 8,Labo 9,Labo 10,Labo 11,Labo 12,Labo 13,Labo 14,Labo 15,Labo 16,Labo 17,Labo 18,Labo 19,Labo 20,Labo 21,Labo 22,discipline 1,discipline 2,discipline 3,discipline 4,discipline 5,discipline 6,discipline 7,discipline 8,discipline 9,discipline 10,discipline 11,ERC,Mot clef 1,Mot clef 2,Mot clef 3,Mot clef 4,Mot clef 5,Mot clef 6,Mot clef 7,Mot clef 8,Mot clef 9,Mot clef 10,Mot clef 11,Mot clef 12,Mot clef 13,site 1,site 2,site 3,site 4,site 5,site 6,site 7,site 8,site 9,site 10,site 11,nom 2,nom 3,nom 4,nom 5,nom 6,nom 7,nom 8,nom 9,nom 10,nom 11,nom 12,nom 13,nom 14,nom 15,nom 16,nom 17,nom 18,nom 19,nom 20,nom 21,nom 22,nom 23,nom 24,nom 25,nom 26,nom 27,nom 28,nom 29,nom 30,Defi principal,autre défi 1,autre défi 2,autre défi 3,autre défi 4,autre défi 5,autre défi 6,Nom complet,Notes,,,,
SAGA-Cité,,SALIZZONI Pietro,Ecole Centrale de Lyon,Université Lumière Lyon 2,Université de Rennes,Centre Léo Berard,INRAE,INRIA,INSERM,INSA-Lyon,,,,CERFACS,IRSN,CEA-DAM,INERIS,Météo France,EDF,TOTAL,SUEZ,,,,,LMFA,LIRIS,CITI,PIAF,EVS,,,,,,,,,,,,,,,,,,"mécanique, Génie Civil - G9 60",Informatique - G5 27,"Structure et évolution de la terre, enveloppe supérieure, fluide G8 35 36 37","Santé, médecine - Gxx 85 à 92",Psychologie Ergonomie - G4 16,,,,,,,"PE6 Sciences informatiques et informatique : Systèmes informatiques et d'information, sciences informatiques, calcul scientifique, systèmes intelligents",Ville durable santé bien-être,Modélisation simulation,transition,justice environnementale,changement climatique,préservation de la biodiversité,pollution atmosphérique,,,,,,,Lyon Saint Etienne,Rennes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"La ville durable, santé et bien-être",Le changement climatique,La ville résiliente,,,,,Simulateur Atmosphérique des Grandes Agglomérations,,,,,
SBBAM,,DUJARDIN Nicolas,Université Paris Est Créteil,Univeristé Paris Cité,,,,,,,,,,,,,,,,,,,,,,CERTES,LIED,,,,,,,,,,,,,,,,,,,,,"energétique, génie des procédé - G9 62",,,,,,,,,,,,Ville sobre et frugale,une fabrique et une productivité soutenable pour la ville,Villes inclusives et équitables,construction,habitants,vivre ensemble,,,,,,,,Créteil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La ville sobre et frugale,La ville inclusive et équitable,,,,,,Vers des matériaux de construction biosourcés,,,,,
SENSU,,ZEPF Marcus,Ecole d'urbanisme de Paris Université Paris Est Créteil,Université Paris Est Créteil,,,,,,,,,,,,,,,,,,,,,,Lab'URBA,LISA,IMRB,CEPIA,LIRTES,,,,,,,,,,,,,,,,,,Aménagement Urbanisme G4 24,Informatique - G5 27,Géographie - G4 23,Sociologie Démographie - G4 19,"Santé, médecine - Gxx 85 à 92",,,,,,,"PE8 Ingénierie des produits et des procédés : Conception de produits et de processus, génie chimique, génie civil, ingénierie environnementale, génie mécanique, ingénierie automobile, processus énergétiques et les méthodes de calcul correspondantes",Déterminants de santé,Santé urbaine,systèmes urbains,inégalités de santé,enjeux territoriaux de santé,approche holistique,,,,,,,,Créteil,,,,,,,,,,,COLL Isabelle,HACHI Ryma,MONVOISIN Manon,FOLLIET François,CHARREIRE Hélène,BARON Myriam,SCHUROFF Franck,SZOKE Andrei,OUBAYA Nadia,ARGOUD Dominique,,,,,,,,,,,,,,,,,,,,"La ville durable, santé et bien-être",La ville inclusive et équitable,,,,,,Surveillance des ENjeux de Santé Urbaine - Impact des Facteurs Sociaux et Environnementaux sur la Santé Urbaine.,,,,,
SOLAR,,BECHET Béatrice,Université Gustave Eiffel,CEREMA,,,,,,,,,,,,,,,,,,,,,,LEE,TEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Santé des Sols,Services écosystémiques,artificialisation,nature en ville,biodiversité,infiltration des eaux pluviales,agriculture urbaine,désimperméabilisation,aménagement,science citoyenne,,,,,,,,,,,,,,,BRANCHU Philippe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La ville résiliente,Le changement climatique,La ville sobre et frugale,La ville inclusive et équitable,"La ville durable, santé et bien-être",,,La place et l'usage des sols dans l'aménagement urbain pour une ville plus durable et résiliente,,,,,
SPACE2050,,L'HOSTIS Alain,Université Gustave Eiffel,,,,,,,,,,,Efficacity,,,,,,,,,,,,LVMT,LAGAM,BSE,MATRIS,LAET,LGI,CES,AVENUES,,,,,,,,,,,,,,,Géographie - G4 23,Aménagement Urbanisme G4 24,Economie Gestion Management - G2 05 06,"Energétique, génie des procédé - G9 62",,,,,,,,,planification écologique,Plans climat,Ville bas carbone,atténuation,transition énergétique,modélisation,simulation,évaluation,collectivité territoriales,outils d'aide à la décision,,,,Marne la Vallée,Montpellier,Bordeaux,Lyon Saint Etienne,Paris,Compiègne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Le changement climatique,la préservation de la biodiversité,La ville résiliente,"La ville durable, santé et bien-être",,,,"SPACE2050 -- Pour une approche Systémique de la Planification bAs Carbone des tErritoires : scénarios, actions et évaluations",,,,,
SUBI,,DAHAN Kevin,Université Gustave Eiffel,,,,,,,,,,,,,,,,,,,,,,,LISAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Les défis émergents, signaux faibles, nouvelles difficulté","La ville durable, santé et bien-être",,,,,,Sonore Urbain et Biodiversité Innovante,,,,,
SYMBIOTIC,,DEIMER Arnaud,Université Clermont Auvergne,IMT Nord Europe,,,,,,,,,,Pôle de Compétitivité TEAM 2,Ville de Lille,Communauté d'Agglomération Lens-Liévin (CALL),Polénergie,Métropole européenne de Lille,Clermont-Métropole,Issoire Agglomération,,,,,,CERDI,CERI EE,ESPACEDEV,ISIGE,ESPI2R,,,,,,,,,,,,,,,,,,"biologie, biochimie, physiologie, écologie, neuroscience - G10  64 à 69",Informatique - G5 27,Géographie - G4 23,Economie Gestion Management - G2 05 06,milieux Matériaux - G6 28 29 30,,,,,,,,Symbiose urbaine et industrielle du bâti,impacts environnementaux et biodiversité en milieu urbain,Modélisation de systèmes complexes,qualification d'un territoire pour la filière du bâti,Espaces urbains délaissés,biodiversité,climat,complexité,impacts,industries,Modélisation,Systèmes,Urbanisme,Clermont Ferrand,Lens-Liévin,Lille,Issoire,,,,,,,,LEMELIN Emmanuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La ville sobre et frugale,Le changement climatique,La préservation de la biodiversité,"La ville durable, santé et bien-être",,,,Contribution à l’estimation des impacts de l’implémentation de la SYMBIOse urbaine et indusTrielle (SUI) sur des territoIres FranCais de typologie (Ur,,,,,
TECTOO,,ZERGUINI Seghir,Université de Bordeaux,Université de Liille,Université de Poitiers,Université de Limoge,,,,,,,,,,,,,,,,,,,,BSE,PASSAGES,IMS,LEM,TVES,XLIM,,,,,,,,,,,,,,,,,milieux Matériaux - G6 28 29 30,Economie Gestion Management - G2 05 06,Géographie - G4 23,informatique - G5 27,"Génie Informatique, automatisme, traitement signal - G9 61",Aménagement Urbanisme G4 24,,,,,,,Villes durables,Urbanisation généralisée,Villes inclusives et équitables,Modélisation et simulation,Formes des villes et résilience,,,,,,,,,Bordeaux,Lille,Limoge,Poitiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"La ville durable, santé et bien-être",La ville résiliente,La ville sobre et frugale,La ville inclusive et équitable,,,,La transition écologique dans les territoires : prospective et aide à la décision par une approche systémique et multiscalaire,,,,,
TEHEDI,,BERNARD Fiona,Université de la Réunion,IRD,Université de Toulon,Université de Guyane,"School of sustainable Development and tourism & Doctoral School of The University of Technology, Mauritius",,,,,,,Association des Maires de la Réunion,CIVIS (EPCI île de la Réunion),Conseil Départemental,,,,,,,,,,PIMENT,LEAD,MINEA,,,,,,,,,,,,,,,,,,,,"mécanique, Génie Civil - G9 60",Economie Gestion Management - G2 05 06,sociologie Démographie - G4 19,"Science de l'éducation, sciences de l'information - G12 70 71 73 74",,,,,,,,,Transition énergétique,inégalités,politiques publiques,évaluation,Développement territorial,milieu tropical,insularité,,,,,,,Réunion,Toulon,Guyane,ile Maurice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La ville inclusive et équitable,La ville résiliente,,,,,,"Transition Énergétique, Habitat, Enjeux de Développement et Inégalités",,,,,
THERMOS,,DUPPORT Nicolas,UniLaSalle Amiens,,,,,,,,,,,Amiens Métropole,,,,,,,,,,,,SYMADE,AVENUES,LMDC,,,,,,,,,,,,,,,,,,,,informatique - G5 27,"Mécanique, Génie Civil - G9 60",,,,,,,,,,,Villes durables,efficacité énergétique,modélisation urbaine,maquette numérique 3D,simulation énergétique,collecte de données,optimisation énergétique,stratégies bas carbone,,,,,,Amiens,Compiègne,Toulouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La ville résiliente,La ville sobre et frugale,,,,,,Comportement THERMique urbain Optimisé par Simulation (vers le jumeau numérique énergétique urbain),,,,,
TRIPODE,,RAIBAUDO Cédric,Université d'Orléans,,,,,,,,,,,,,,,,,,,,,,,PRISME,,,,,,,,,,,,,,,,,,,,,,"mécanique, Génie Civil - G9 60","energétique, génie des procédé - G9 62",,,,,,,,,,,Eolien,impact positif,environemental,aérodynamique,énergétique,,,,,,,,,Orléans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La ville sobre et frugale,La ville résiliente,,,,,,Énergétique par l'éolien pour des bâtiments à impact positif,,,,,
TwinCityZen,,RACHEDI Abderrzak,Université Gustave Eiffel,EIVP,,,,,,,,,,CERIA,SIRADEL-ENGIE,,,,,,,,,,,LIGM,LASTIG,PICS-L,GRETTIA,IMSE,MSME ,ESYCOM,DAVID,,,,,,,,,,,,,,,informatique - G5 27,,,,,,,,,,,,Jumeau Numérique Urbain (CIM/BIM),IoT,IA,Qualité des données,Qualité environnement,Pollution de l'air,Nuisances sonores,Santé,Aide à la décision,,,,,Marne la Vallée,,,,,,,,,,,CHACHOUA Mohamed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"La ville durable, santé et bien-être",La ville résiliente,La ville inclusive et équitable,,,,,Jumeau numérique intelligent au service de la qualité de l'environnement urbain en contexte indoor et outdoor ,,,,,
ULL - Montpellier,,PERRIN Jean-Louis,Université de Montpellier,,,,,,,,,,,Centre international de l'UNESCO ICIREWARD,Pôle Aqua Valley et Société Calypso,Hopital de Montpellier,,,,,,,,,,HSM,CEFE,ISEM,OSU-OREME,Obsrvatoire de Recherche Montpelliérain de l'Environnement,OHM Littoral Méditerranéen,OBSERVIL système national d'observation,,,,,,,,,,,,,,,,"biologie, biochimie, physiologie, écologie, neuroscience - G10  64 à 69","Mécanique, Génie Civil - G9 60","Santé, médecine - Gxx 85 à 92",,,,,,,,,,Hydro-systèmes,observatoires,transdiciplinarité,co-construction,pluies,crues,inondations,contaminants,,,,,,Montpellier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La ville résiliente,Le changement climatique,"La ville durable, santé et bien-être",,,,,Urban Living Labs Université (Campus Triolet) et Hôpital (Lapeyronie) de Montpellier Rapports environnementaux et sociaux avec leurs hydro-systèmes,,,,,
Umrestte,,VERNET Céline,Université Gustave Eiffel,,,,,,,,,,,,,,,,,,,,,,,ESTTE,,,,,,,,,,,,,,,,,,,,,,"Santé, médecine - Gxx 85 à 92",,,,,,,,,,,,,,,,,,,,,,,,,Lyon Saint Etienne,,,,,,,,,,,GADGEBEKU Blandine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"La ville durable, santé et bien-être",La ville inclusive et équitable,,,,,,UMRESTTE,,,,,
UNIR,,FUMO Angelo,Université Gustave Eiffel,ENS-Lyon,Université Claude Bernard Lyon 1,Université Gustave Eiffel,SKEMA Business school,INSA-Lyon,Université de la Rochelle,Université Grenoble Alpes,Université de Paris Est Créteil,,,,,,,,,,,,,,,LICIT,LPENSL,LIRIS,PROMES,CITI,,Lab'URBA,G2ELab,L3i,GERS,LVMT,LATTS,LAET,,,,,,,,,,Informatique - G5 27,Aménagement Urbanisme G4 24,Economie Gestion Management - G2 05 06,"Mécanique, Génie Civil - G9 60",,,,,,,,,Urban Resilience,Technical Networks,Resilience Modeling,Joint Vulnerabilities,Sustainable Resilience-oriented Decision-Making,,,,,,,,,Lyon Saint Etienne,La Rochelle,Grenoble,Nantes,Perpignan,Créteil,,,,,,EL FAOUZI Nour-Eddin,BORGNAT Pierre,ROUX Stéphane,CAZABET Rémy,REY David,AUSSEL Didier,SOLNON Christine,DIAB Youssef,VUILLET Marc,DER SARKISSIAN Rita,RETIERE Nicolas,GHAMRI-DOUDANE Mohamed Yacine,GUILLAUME Jean-Loup,GAUME Eric,PAYRASTRE Olivier,COULOMBEL Olivier,COUTARD Olivier,MANOUT Ouassim,,,,,,,,,,,,La ville résiliente,Le changement climatique,,,,,,Résilience Intégrée des Réseaux Urbains,,,,,
UrbaRisqBio,,GALIA Wessam,VETAGRO-SUP,,,,,,,,,,,Environnement Science France,,,,,,,,,,,,EM,CBGP,EVS,RS2GP,LEESU,ISA,,,,,,,,,,,,,,,,,"biologie, biochimie, physiologie, écologie, neuroscience - G10  64 à 69",Géographie - G4 23,"mécanique, Génie Civil - G9 60",Chimie - G7 31 32 33,,,,,,,,,,,,,,,,,,,,,,Lyon Saint Etienne,Montpellier,Paris,marne la vallée,,,,,,,,COURNOYER Benoit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"La ville durable, santé et bien-être","Les défis émergents, signaux faibles, nouvelles difficultés",,,,,,"Les liaisons dnagereuses entre activités humaines, systèmes techniques et dangers biologiques",,,,,
URBHEALTH,,SARTELET Karine,Ecole Nationale des Ponts ParisTech,Université Paris Est Créteil,Université de Montpellier ,Sorbonne Université,INSERM,IRD Grenoble,,,,,,,,,,,,,,,,,,CEREA,LISA,LMD,IGE,CEE-M,,,,,,,,,,,,,,,,,,"structure et évolution de la terre, enveloppe supérieure, fluide G8 35 36 37","Biologie, biochimie, physiologie, écologie, neuroscience - G10  64 à 69",Chimie - G7 31 32 33,Economie Gestion Management - G2 05 06,,,,,,,,"PE10 Sciences du Système Terre : Géographie physique, géologie, géophysique, sciences de l'atmosphère, océanographie, climatologie, cryologie, écologie, changements environnementaux globaux, cycles biogéochimiques, gestion des ressources naturelles",Santé,Pollution,inégalités,hétérogénéités,Sources,,,,,,,,,Créteil,Paris,Toulouse,Grenoble,Montpellier,,,,,,,SARTELET Kanine,LUGON Lya,ROUSTAN Yelva,FORÊT Gilles,COLL Isabelle,ELESSA ETUMAN Arthur,VALARI Myrto,LEQUY Emeline,ZINS Marie,NADIF Rachel,UZU Gaelle,LAVAINE Emmanuelle,JAMMES Mael,,,,,,,,,,,,,,,,,"La ville durable, santé et bien-être",,,,,,,Territoires URBanisés: influence des HEérogénéités spatiALes et des sources de pollution aTmospHérique sur la santé,,,,,
URBHealth,,GUEGUEN Philip,Université de Grenoble Alpes,Université Gustave Eiffel,Université Claude Bernard Lyon 1,CNRS,Université de Strasbourg,INSA-Lyon,,,,,,,,,,,,,,,,,,ISTerre,SRO,LGL-TPE,LGP,EOST,GEOMAS,CSEM,IRSN EPIC (Nanterre) ,,,,,,,,,,,,,,,Milieux Matériaux - G6 28 29 30,"Structure et évolution de la terre, enveloppe supérieure, fluide G8 35 36 37","Mécanique, Génie Civil - G9 60","Génie Informatique, automatisme, traitement signal - G9 61",Economie Gestion Management - G2 05 06,,,,,,,,Urbain,Risque,Vieillissement,Résilience,suivi,changements,intégration,,,,,,,Grenoble,Marne La Vallée,Lyon Saint Etienne,Paris,Strasbourg,,,,,,,BONILLA HIDALGO Luis-Fabian,TAUZIN Benoît  ,MOATI Annabel,GRANGE Stéphane,BOSSU Rémy,GELIS Céline,,,,,,,,,,,,,,,,,,,,,,,,La ville résiliente,"Les défis émergents, signaux faibles, nouvelles difficultés",,,,,,Surveillance urbaine pour la sécurité physique des biens confrontés à des défis à court et long termes,,,,,
UrBioLLabs,,BETIS Gilles,"Ecole Spéciale des Travaux Publics, du Bâtiment et de l'Industrie",AgroParisTech,Université de Bourgogne,CEREMA,,,,,,,,Commune de Cachan,Dijon Métropole,EPT Grand-Orly-Seine-Bièvre,Holcim Lafarge,Colas core,Artelia,Sources urbaines,Urbasense,,,,,IRC,,BGS,,,,,,,,,,,,,,,,,,,,"mécanique, Génie Civil - G9 60","Biologie, biochimie, physiologie, écologie, neuroscience - G10  64 à 69","Structure et évolution de la terre, enveloppe supérieure, fluide G8 35 36 37",,,,,,,,,"LS4 Physiologie de la santé, de la maladie et du vieillissement : Physiologie des organes et des tissus, physiologie comparée, physiologie du vieillissement, physiopathologie, communication entre les organes et les tissus, endocrinologie, nutrition, métabolisme, interaction avec le microbiome, maladies non transmissibles dont le cancer (à l'exception des troubles du système système nerveux et les maladies liées à l'immunité)",Ilots de chaleur,Eaux pluviales,biodiversité,trames écologiques,désimperméabilisation,Usages citoyens,Modélisation,Jumeau Numérique,ACV,Laboratoire vivant,,,,Paris,Dijon,Ile de France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Le changement climatique,La ville résiliente,La ville inclusive et équitable,"La ville durable, santé et bien-être",,,,Laboratoires Vivants Bioclimatiques Urbains,,,,,
VEPAC,,BLOND Nadège,CNRS,Université de Strasbourg,CEREMA (Nantes),Université d'Angers,Université de Toulouse Capitole,Université de Strasbourg,INSA-Strasbourg,,,,,Eurométropole de Strasbourg,Alliance des collectivités ,Agence de l'Urbanisme,Association pour la surveillance de la qualité de l'air,,,,,,,,,LIVE,BPE,LEMNA,GRANEM,IRIT,LinCs,ICube,,,,,,,,,,,,,,,,Géographie - G4 23,Sociologie Démographie - G4 19,"Mécanique, Génie Civil - G9 60",Economie Gestion Management - G2 05 06,informatique - G5 27,"energétique, génie des procédé - G9 62",,,,,,"PE3 Physique de la matière condensée : Structure, propriétés électroniques, fluides, nanosciences, physique biologique",Ville,Climat,consommation énergétique,confort thermique,pollution de l'air,vulnérabilité,risque,,,,,,,Strasbourg,Nantes,Angers,Toulouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La ville résiliente,Le changement climatique,La ville sobre et frugale,La ville inclusive et équitable,"La ville durable, santé et bien-être",,,"Vulnérabilité des populations urbaines à la pollution de l’air et aux vagues de chaleur : diagnostic, atténuation et adaptation",,,,,
VESTA,,LEQUAY Hervé,ENSAL,,,,,,,,,,,SDMIS 69,Métropole de Lyon,Ville de Lyon,UNESCO,Démonstrateur Ville Durable,DRAC,Bailleurs,,,,,,MAP-Aria,EVS,LIRIS,AAU,IMU ,,,,,,,,,,,,,,,,,,Architecture Arts - G4 18,Aménagement Urbanisme G4 24,Informatique - G5 27,Histoire - Archéologie - G4 21 22,,,,,,,,"LS6 Immunité, infection et immunothérapie : Le système immunitaire, les troubles associés et leurs mécanismes, biologie des agents infectieux et de l'infection, bases biologiques de la prévention et du traitement des maladies infectieuses, outils et approches immunologiques innovants, y compris les thérapies",secteurs patrimoniaux,Patrimonialisation,réhabilitation,revitalisation,vulnérabilité,monitoring,modélisation d'accompagnement,scénarisation,simulation,expérimentation,,,,Lyon Saint Etienne,Nantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La ville résiliente,La ville inclusive et équitable,"La ville durable, santé et bien-être",,,,,"Vivre En Secteurs paTrimoniAux : potentialités, opportunités, vulnérabilités",,,,,
VF++,,MERLIER Lucie,INSA-Lyon,Université Claude Bernard Lyon 1,CEREMA,Université de la Rochelle,Paris cité,Université de Bordeaux,Université de Nantes ,AMU,Université Jean-Moulin Lyon 3,,,CSTB,Métropole de Lyon,,,,,,,,,,,CETHIL,BPE,LaSIE,M2P2,LIED,I2M,ESO,EVS,,,,,,,,,,,,,,,"energétique, génie des procédé - G9 62",architecture Arts - G4 18,Aménagement Urbanisme G4 24,,,,,,,,,,surchauffe urbaine,solutions de rafraichissement,Santé,Adaptation,système socio-écologique,,,,,,,,,Lyon Saint Etienne,La Rochelle,Bordeaux,Paris,Aix Marseille,Nantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"La ville durable, santé et bien-être",Le changement climatique,La ville résiliente,La ville inclusive et équitable,,,,"Des Villes Fraiches Pour et Par Leurs USagers: associer des solutions douces, vertes et grises pour favoriser la bonne santé des habitants",,,,,
ViBaT,,IBOS Laurent,Université Paris Est Créteil,Université Gustave Eiffel,CMQ (campus des métiers et des qualifications d'excellences - transition numérique et écologique dans la construction),AMU,Université Bretagne Sud,,,,,,,Saint Gobain recherche Paris,"CMQ ""Transition numérique et écologique dans la construction""",,,,,,,,,,,CERTES,Lab'URBA,IUSTI,IRDL,,,,,,,,,,,,,,,,,,,"energétique, génie des procédé - G9 62",architecture Arts - G4 18,"Mécanique, Génie Civil - G9 60",informatique - G5 27,,,,,,,,,Matériaux bio-sourcés,Matériaux géo sources,Performance Thermique,Diagnostic,Aménagement urbain,,,,,,,,,Créteil,Marne La Vallée,Lorient,Aix Marseille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La ville sobre et frugale,La ville résiliente,"La ville durable, santé et bien-être",,,,,Ville et bâtiment en terre crue : étude multi échelle des solutions de construction bio et géo sourcées,,,,,
VILLE-VIVANTE,,KAUFMANN Bernard,Université Claude Bernard Lyon 1,,,,,,,,,,,,,,,,,,,,,,,LEHNA,EVS,SAD-APT,ESE,LADYSS,CEFE,iEES,LSE,CESCO,,,,,,,,,,,,,,"biologie, biochimie, physiologie, écologie, neuroscience - G10  64 à 69",Géographie - G4 23,sociologie Démographie - G4 19,"Structure et évolution de la terre, enveloppe supérieure, fluide G8 35 36 37",Histoire - Archéologie - G4 21 22,,,,,,,,Biodiversité,sols,habilitabilité,aménagement,végétal,recherche action,plurdisciplinarité,territoires,relation humain biodiversité,,,,,Lyon Saint Etienne,Paris,Montpellier,Nancy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Le changement climatique,La ville résiliente,"La ville durable, santé et bien-être",la préservation de la biodiversité,,,,"Ville durable, ville vivante : de la recherche à l’action",,,,,
Villénature,,LESIEUR Claire,ENS Lyon,INSA-Lyon,Université Claude Bernard Lyon 1,Ecole Centrale de Lyon,Université Savoie Mont Blanc,,,,,,,Université Western autralia,Curtin University,Institut Teknologi Bandung,,,,,,,,,,AMPERE,IXXI,LAMA,LIRIS,,,,,,,,,,,,,,,,,,,"biologie, biochimie, physiologie, écologie, neuroscience - G10  64 à 69","energétique, génie des procédé - G9 62",Informatique - G5 27,"Génie électrique, électronique, système - G9 63",mathématique - G5 25 26,"Structure et évolution de la terre, enveloppe supérieure, fluide G8 35 36 37","Mécanique, Génie Civil - G9 60",,,,,"LS7 Prévention, diagnostic et traitement des maladies humaines : Technologies et outils médicaux pour la prévention, diagnostic et traitement des maladies humaines, approches et interventions thérapeutiques, pharmacologie, médecine préventive, épidémiologie et santé publique, médecine numérique",Systèmes naturels durables,Systèmes urbains,Modélisation et simulation,Diagnostique & Performances,Biomimétisme urbain,Gestion de l'espace,Ville Stationnaire,Systèmes complexes,données,,,,,Lyon Saint Etienne,Chambery,Australie,Indonesie,,,,,,,,MARQUI-FAVRE Wilfrid,ZITOUNI Younes,SCORLETTI  Gérard,VUILLON Laurent,CAZABET Remy,GEORGE Annette,SMALL Michael,CAMPBELL Matthew,GIRI RACHMAN ARIFIN Ernawati,WIDIASTUTI Indah,,,,,,,,,,,,,,,,,,,,"La ville durable, santé et bien-être","Les défis émergents, signaux faibles, nouvelles difficultés",,,,,,Conception durable: de la nature à la ville,,,,,
VIMAP,,SERVIERES Myriam,Ecole Centrale de Nantes,Université Gustave Eiffel (Nantes),CEREMA (IdF),CNAM (Paris),CNRS-INS2I (Brest),,,,,,,,,,,,,,,,,,,AAU,GEOLOC,Lab-STICC,MATRIS,LaPEA,MESURS,,,,,,,,,,,,,,,,,Aménagement Urbanisme G4 24,Informatique - G5 27,Psychologie Ergonomie - G4 16,,,,,,,,,"PE7 Ingénierie des systèmes et de la communication : Ingénierie électrique, électronique, de la communication, optique et des systèmes",Mobilité Sénior,Marchabilité,réalité virtuelle,Modèles de marche,Perception,Enquêtes,Bénéfices sanitaires,inclusivité,Diagnostic,Cartographie,,,,Nantes,Brest,Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La ville inclusive et équitable,"La ville durable, santé et bien-être",,,,,,Villes Inclusives pour la Mobilité Aînée Piétonne - Observation et Rendu de la Marchabilité pour une Mobilité Piétonne des Seniors,,,,,
VIREV,,CARO Stéphane,Université Gustave Eiffel,,,,,,,,,,,,,,,,,,,,,,,PICS-L,,,,,,,,,,,,,,,,,,,,,,Informatique - G5 27,"Mécanique, Génie Civil - G9 60",Géographie - G4 23,"Ethnologie, préhistoire Anthropologie - G4 20",,,,,,,,,Ville,aménagements,Déplacements,mobilité,interactions,simulation immersive,réalité virtuelle,bien-être,,,,,,Champ sur Marne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"La ville durable, santé et bien-être",La ville sobre et frugale,"Les défis émergents, signaux faibles, nouvelles difficultés",,,,,Vivre les interactions de la rue en environnement virtuel pour mieux anticiper,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On a 77 projets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
