Sites,latitude,longitude,result_score,result_score_next,result_label,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
Aix Marseilles,43.300329,5.375621,0.6357281339712918,0.4552485714285714,Rue d'aix 13001 Marseille,street,13201_0114,,Rue d'aix,Rue d'aix,13001,Marseille,"13, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",13201,,,Marseille 1er Arrondissement,ok
Albi,43.929864,2.149681,0.9532518181818181,0.562370909090909,Albi,municipality,81004,,Albi,,81000,Albi,"81, Tarn, Occitanie",81004,,,,ok
Alès,44.125446,4.089292,0.9526863636363635,0.3987690909090909,Alès,municipality,30007,,Alès,,30100,Alès,"30, Gard, Occitanie",30007,,,,ok
Angers,47.467471,-0.561615,0.9584845454545453,0.6280915151515151,Angers,municipality,49007,,Angers,,49000,Angers,"49, Maine-et-Loire, Pays de la Loire",49007,,,,ok
Antibes,43.582206,7.103245,0.9551290909090909,0.52365,Antibes,municipality,06004,,Antibes,,06160,Antibes,"06, Alpes-Maritimes, Provence-Alpes-Côte d'Azur",06004,,,,ok
Avignon,48.390709,-1.759717,0.956671818181818,0.9559663636363636,Avignon 35270 Combourg,street,35085_an2ffl,,Avignon,Avignon,35270,Combourg,"35, Ille-et-Vilaine, Bretagne",35085,,,,ok
Bordeaux,44.851895,-0.587877,0.9608036363636362,0.9381472727272727,Bordeaux,municipality,33063,,Bordeaux,,33000,Bordeaux,"33, Gironde, Nouvelle-Aquitaine",33063,,,,ok
Brest,48.406435,-4.497736,0.9579454545454543,0.5127918181818182,Brest,municipality,29019,,Brest,,29200,Brest,"29, Finistère, Bretagne",29019,,,,ok
Chambery - Savoire Montblanc,,,,,,,,,,,,,,,,,,not-found
Clermont-Ferrand,45.786671,3.107129,0.9581899999999999,0.6939688311688311,Clermont-Ferrand,municipality,63113,,Clermont-Ferrand,,63000,Clermont-Ferrand,"63, Puy-de-Dôme, Auvergne-Rhône-Alpes",63113,,,,ok
Compiègne,50.709052,3.154625,0.9595345454545453,0.9523081818181818,Compiègne 59200 Tourcoing,street,59599_ig1z6y,,Compiègne,Compiègne,59200,Tourcoing,"59, Nord, Hauts-de-France",59599,,,,ok
Dijon - bourgogne France compté,47.924316,-1.742696,0.39137398268398266,0.3691548717948717,Rue du Frolan 35890 Bourg-des-Comptes,street,35033_0120,,Rue du Frolan,Rue du Frolan,35890,Bourg-des-Comptes,"35, Ille-et-Vilaine, Bretagne",35033,,,,ok
Dijon - bourgogne France comté,47.350404,5.039856,0.30684115702479337,0.30054024793388423,Place de la France Libre 21000 Dijon,street,21231_3325,,Place de la France Libre,Place de la France Libre,21000,Dijon,"21, Côte-d'Or, Bourgogne-Franche-Comté",21231,,,,ok
Grenoble,45.182081,5.7243,0.9584927272727273,0.9470727272727272,Grenoble,municipality,38185,,Grenoble,,38000,Grenoble,"38, Isère, Auvergne-Rhône-Alpes",38185,,,,ok
La Rochelle,47.984583,-1.653965,0.957061818181818,0.9555290909090909,la Rochelle 35230 Orgères,street,35208_compbs,,la Rochelle,la Rochelle,35230,Orgères,"35, Ille-et-Vilaine, Bretagne",35208,,,,ok
La Réunion,47.640829,-2.017846,0.9458763636363636,0.9455072727272725,la Reunion 44460 Avessac,street,44007_yit5pp,,la Reunion,la Reunion,44460,Avessac,"44, Loire-Atlantique, Pays de la Loire",44007,,,,ok
Lille - Littoral Côte d'Opale,,,,,,,,,,,,,,,,,,not-found
Limoges,45.856159,1.221254,0.9576127272727272,0.9447372727272727,Limoges,municipality,87085,,Limoges,,87000,Limoges,"87, Haute-Vienne, Nouvelle-Aquitaine",87085,,,,ok
Lorient,47.750687,-3.378425,0.9539409090909089,0.9493172727272726,Lorient,municipality,56121,,Lorient,,56100,Lorient,"56, Morbihan, Bretagne",56121,,,,ok
Lyon Saint-Etienne,45.435386,4.441872,0.7087421212121212,0.7083761157024793,Rue de Lyon 42100 Saint-Étienne,street,42218_5603,,Rue de Lyon,Rue de Lyon,42100,Saint-Étienne,"42, Loire, Auvergne-Rhône-Alpes",42218,,,,ok
Montpellier,43.610476,3.87048,0.9614590909090908,0.9371536363636364,Montpellier,municipality,34172,,Montpellier,,34000,Montpellier,"34, Hérault, Occitanie",34172,,,,ok
Nantes,47.239367,-1.555335,0.9617609090909089,0.934151818181818,Nantes,municipality,44109,,Nantes,,44000,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,,ok
Nice,43.71273,7.25092,0.9620981818181817,0.37997272727272724,Nice,municipality,06088,,Nice,,06000,Nice,"06, Alpes-Maritimes, Provence-Alpes-Côte d'Azur",06088,,,,ok
Orléans,47.873569,1.911358,0.9571272727272726,0.9347363636363636,Orléans,municipality,45234,,Orléans,,45000,Orléans,"45, Loiret, Centre-Val de Loire",45234,,,,ok
Paris et IdF,44.627422,0.620677,0.4505576923076923,0.39205090909090906,Paris Est 47330 Castillonnès,locality,47057_B116,,Paris Est,,47330,Castillonnès,"47, Lot-et-Garonne, Nouvelle-Aquitaine",47057,,,,ok
Poitiers,46.586578,0.35668,0.9559618181818181,0.6239387603305785,Poitiers,municipality,86194,,Poitiers,,86000,Poitiers,"86, Vienne, Nouvelle-Aquitaine",86194,,,,ok
Reims,49.250948,4.055595,0.9590845454545455,0.9467090909090908,Reims,municipality,51454,,Reims,,51100,Reims,"51, Marne, Grand Est",51454,,,,ok
Rennes,48.110899,-1.68365,0.9601163636363635,0.9343781818181818,Rennes,municipality,35238,,Rennes,,35000,Rennes,"35, Ille-et-Vilaine, Bretagne",35238,,,,ok
Strasbourg,48.579831,7.761454,0.9612890909090908,0.5828454545454544,Strasbourg,municipality,67482,,Strasbourg,,67000,Strasbourg,"67, Bas-Rhin, Grand Est",67482,,,,ok
Toulouse,43.604082,1.433805,0.9637809090909091,0.9493427272727271,Toulouse,municipality,31555,,Toulouse,,31000,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,,ok
Université Côte d'Azur,44.051504,5.039059,0.4611676767676767,0.4538885858585858,Rue de l'Université 84200 Carpentras,street,84031_2045,,Rue de l'Université,Rue de l'Université,84200,Carpentras,"84, Vaucluse, Provence-Alpes-Côte d'Azur",84031,,,,ok
Université Le Havre Normandie,43.136872,6.006115,0.3864291919191919,,Avenue de l'Université 83160 La Valette-du-Var,street,83144_0895,,Avenue de l'Université,Avenue de l'Université,83160,La Valette-du-Var,"83, Var, Provence-Alpes-Côte d'Azur",83144,,,,ok
Université de Franche-Comté,46.998083,3.173101,0.4266580351906158,0.4264116715542522,Rue de l’Universite 58000 Nevers,street,58194_6315,,Rue de l’Universite,Rue de l’Universite,58000,Nevers,"58, Nièvre, Bourgogne-Franche-Comté",58194,,,,ok
Université de Lorraine,48.899217,2.214811,0.5836859740259739,0.5795063636363637,Terrasse de l'Université 92000 Nanterre,street,92050_9556,,Terrasse de l'Université,Terrasse de l'Université,92000,Nanterre,"92, Hauts-de-Seine, Île-de-France",92050,,,,ok
Université de Picardie Jules Verne,46.993538,3.131543,0.44274057416267937,0.44075330143540664,Rue Jules Verne 58000 Nevers,street,58194_3080,,Rue Jules Verne,Rue Jules Verne,58000,Nevers,"58, Nièvre, Bourgogne-Franche-Comté",58194,,,,ok
non connu,47.72693,-3.436884,0.464264965034965,0.45540132867132865,Non concerné 56270 Ploemeur,street,56162_53j0i2,,Non concerné,Non concerné,56270,Ploemeur,"56, Morbihan, Bretagne",56162,,,,ok
,,,,,,,,,,,,,,,,,,skipped
